Time;Order;SKU;MU;TU;Module;Step;Event
380,10;1505;505;33;0;4;Melter;Queue Up
380,10;1505;505;26;51;3;Preshaper;End Process
380,10;1504;504;30;13;3;Preshaper;Start Process
380,10;0;0;0;61;4;Preshaper;Queue Down
380,10;1505;505;33;1;4;Melter;Start Process
382,00;0;0;0;4;1;Preshaper;Release TU
382,00;1502;502;28;55;2;Conditioner;Queue Up
382,00;1502;502;28;55;2;Conditioner;Start Process
382,00;0;0;0;106;2;Conditioner;Queue Down
383,00;0;0;0;55;2;Conditioner;Release TU
383,10;1506;506;25;105;2;Shaper;End Process
384,00;1501;501;31;54;1;Preshaper;End Process
385,10;1505;505;26;51;3;Conditioner;Queue Up
385,10;1505;505;26;51;3;Conditioner;Start Process
385,10;0;0;0;101;3;Conditioner;Queue Down
386,00;1503;503;35;11;3;Melter;End Process
386,00;1502;502;28;113;2;Conditioner;End Process
386,10;0;0;0;51;3;Conditioner;Release TU
388,00;1501;501;37;0;1;Melter;Queue Up
388,00;1501;501;37;14;1;Melter;Start Process
388,10;1505;505;33;1;4;Melter;End Process
389,00;1501;501;31;54;1;Conditioner;Queue Up
389,00;1502;502;28;113;1;Shaper;Queue Up
389,00;1501;501;31;54;1;Conditioner;Start Process
389,00;1502;502;28;113;1;Shaper;Start Process
389,00;0;0;0;112;1;Conditioner;Queue Down
390,00;0;0;0;54;1;Conditioner;Release TU
390,10;1505;505;26;110;3;Conditioner;End Process
391,00;0;0;0;8;2;Preshaper;Release TU
391,00;0;0;0;64;2;Preshaper;Queue Down
391,00;1502;502;28;113;1;Shaper;End Process
392,00;1501;501;37;14;1;Melter;End Process
392,00;1501;501;31;109;1;Conditioner;End Process
393,00;1503;503;29;64;2;Preshaper;End Process
393,00;1502;502;34;7;2;Preshaper;Start Process
393,10;1505;505;26;110;2;Shaper;Queue Up
393,10;1505;505;26;110;2;Shaper;Start Process
395,00;0;0;0;60;1;Preshaper;Queue Down
395,00;1501;501;31;109;1;Shaper;Queue Up
395,00;1501;501;31;109;1;Shaper;Start Process
395,10;0;0;0;12;4;Preshaper;Release TU
395,10;0;0;0;56;3;Preshaper;Queue Down
396,00;1503;503;35;11;2;Preshaper;Queue Up
396,00;1502;502;40;0;1;Melter;Queue Up
396,00;1502;502;40;15;1;Melter;Start Process
396,10;0;0;0;13;3;Preshaper;Release TU
397,00;1501;501;31;109;1;Shaper;End Process
